date,ISM Srv. PMI,Business Activity,New Orders,Employment,Supplier Deliveries,Backlog of Orders,New Export Orders,Imports,Inventory Change,Inventory Sentiment,Prices
2022-12-01,49.0,52.8,45.1,49.7,48.5,51.5,47.7,52.7,45.1,55.9,67.4
2023-01-01,54.5,59.2,58.8,50.1,50.0,52.9,59.0,53.0,49.2,55.8,65.8
2023-02-01,54.9,56.8,61.6,53.6,47.6,52.8,61.7,52.6,50.6,55.3,64.4
2023-03-01,50.8,54.2,52.1,51.0,45.8,48.5,43.7,43.6,52.8,57.9,60.2
2023-04-01,52.7,53.6,56.6,52.0,48.6,49.7,60.9,51.3,47.2,48.9,59.6
2023-05-01,51.0,52.2,54.0,50.1,47.7,40.9,59.0,50.0,58.3,61.0,57.0
2023-06-01,53.8,58.2,55.8,53.7,47.6,43.9,61.5,54.6,55.9,54.0,55.2
2023-07-01,52.8,56.6,55.4,50.9,48.1,52.1,61.1,52.3,50.4,56.6,58.0
2023-08-01,54.0,57.4,56.8,53.5,48.5,41.8,62.1,52.3,57.7,61.5,59.2
2023-09-01,53.3,57.7,52.9,52.4,50.4,48.6,63.7,50.6,54.2,54.8,58.7
2023-10-01,51.8,55.6,54.5,49.8,47.5,50.9,48.8,60.0,49.5,54.4,58.5
2023-11-01,52.6,55.7,55.1,50.1,49.6,49.1,53.6,53.7,55.4,62.2,57.8
2023-12-01,50.6,56.0,53.2,43.7,49.5,49.4,50.4,49.3,49.6,55.3,56.7
2024-01-01,53.2,55.5,54.7,50.2,52.4,51.4,56.1,59.9,49.1,59.3,62.9
2024-02-01,52.2,56.7,55.2,48.0,48.9,50.3,51.6,54.3,47.1,56.7,57.8
2024-03-01,51.3,57.0,54.2,48.5,45.4,44.8,52.7,52.4,45.6,55.7,53.5
2024-04-01,49.6,51.0,52.4,46.6,48.5,51.1,47.9,53.6,53.7,62.9,58.8
2024-05-01,53.5,59.9,53.9,47.5,52.7,50.8,61.8,42.8,52.1,57.7,58.0
2024-06-01,49.2,50.2,47.8,46.7,52.2,44.0,51.7,44.0,42.9,64.1,56.8
2024-07-01,51.4,54.2,52.7,51.0,47.6,50.6,58.5,53.3,49.8,63.2,57.3
2024-08-01,51.6,53.9,53.2,49.6,49.6,43.7,50.9,50.3,52.9,54.9,57.7
2024-09-01,54.5,58.6,59.1,48.2,52.1,48.3,56.7,52.7,58.1,54.0,59.5
2024-10-01,55.8,57.7,56.7,52.2,56.4,47.7,51.7,50.2,57.2,53.0,58.6
2024-11-01,52.5,55.5,54.2,50.9,49.5,47.1,49.6,53.8,45.9,54.6,58.5
2024-12-01,54.0,58.0,54.4,51.3,52.5,44.3,50.1,50.7,49.4,53.4,64.4
